algoritmo,cenario,io_ops,cpu_ops,repeticao,tempo_io,tempo_cpu
fcfs,100,100000,1000000,4,"781,808480","0,000000"
fcfs,100,100000,1000000,5,"689,882520","0,000000"
fcfs,200,100000,1000000,1,"1328,629280","0,000000"
fcfs,200,100000,1000000,2,"1353,113510","0,000000"
fcfs,200,100000,1000000,3,"1489,387140","0,000000"
fcfs,200,100000,1000000,4,"1363,469070","0,000000"
fcfs,200,100000,1000000,5,"1378,254050","0,000167"
fcfs,10,10000,1000000,1,"11,529970","0,000000"
fcfs,10,10000,1000000,2,"13,026720","0,000000"
fcfs,10,10000,1000000,3,"12,966700","0,000000"
fcfs,10,10000,1000000,4,"12,833300","0,000000"
fcfs,10,10000,1000000,5,"12,933300","0,000000"
fcfs,50,10000,1000000,1,"40,101304","0,000000"
fcfs,50,10000,1000000,2,"40,473312","0,000000"
fcfs,50,10000,1000000,3,"40,624660","0,000000"
fcfs,50,10000,1000000,4,"38,556664","0,000000"
fcfs,50,10000,1000000,5,"40,184000","0,000000"
fcfs,100,10000,1000000,1,"72,131360","0,000000"
fcfs,100,10000,1000000,2,"73,300364","0,000000"
fcfs,100,10000,1000000,3,"74,034046","0,000000"
fcfs,100,10000,1000000,4,"72,853694","0,000000"
fcfs,100,10000,1000000,5,"74,322630","0,000000"
fcfs,200,10000,1000000,1,"140,206679","0,000000"
fcfs,200,10000,1000000,2,"138,922990","0,000000"
fcfs,200,10000,1000000,3,"168,107179","0,000000"
fcfs,200,10000,1000000,4,"165,579809","0,000000"
fcfs,200,10000,1000000,5,"166,442998","0,000000"
round_robin,10,10000,10000000,1,"12,110020","0,000000"
round_robin,10,10000,10000000,2,"12,313360","0,000000"
round_robin,10,10000,10000000,3,"11,843320","0,000000"
round_robin,10,10000,10000000,4,"11,820020","0,000000"
round_robin,10,10000,10000000,5,"12,016700","0,000000"
round_robin,50,10000,10000000,1,"59,495988","0,001334"
round_robin,50,10000,10000000,2,"59,700000","0,002667"
round_robin,50,10000,10000000,3,"59,242012","0,002667"
round_robin,50,10000,10000000,4,"60,289344","0,002668"
round_robin,50,10000,10000000,5,"59,732008","0,003334"
round_robin,100,10000,10000000,1,"118,494260","0,004667"
round_robin,100,10000,10000000,2,"119,431760","0,005335"
round_robin,100,10000,10000000,3,"118,661980","0,004999"
round_robin,100,10000,10000000,4,"118,856280","0,005667"
round_robin,100,10000,10000000,5,"119,905420","0,004667"
round_robin,200,10000,10000000,1,"237,523010","0,011167"
round_robin,200,10000,10000000,2,"237,921810","0,010833"
round_robin,200,10000,10000000,3,"239,032670","0,011500"
round_robin,200,10000,10000000,4,"237,334050","0,011333"
round_robin,200,10000,10000000,5,"236,999990","0,012000"
round_robin,10,100000,1000000,1,"117,367000","0,000000"
round_robin,10,100000,1000000,2,"116,726600","0,000000"
round_robin,10,100000,1000000,3,"127,129800","0,000000"
round_robin,10,100000,1000000,4,"130,317000","0,000000"
round_robin,10,100000,1000000,5,"125,133000","0,000000"
round_robin,50,100000,1000000,1,"593,807400","0,003999"
round_robin,50,100000,1000000,2,"583,846680","0,002667"
round_robin,50,100000,1000000,3,"581,892040","0,004000"
round_robin,50,100000,1000000,4,"596,032080","0,003333"
round_robin,50,100000,1000000,5,"601,247360","0,003335"
round_robin,100,100000,1000000,1,"1.173,340000","0,005666"
round_robin,100,100000,1000000,2,"1.176,672800","0,007666"
round_robin,100,100000,1000000,3,"1.161,164200","0,009333"
round_robin,100,100000,1000000,4,"1.154,722200","0,007999"
round_robin,100,100000,1000000,5,"1.155,373000","0,009000"
round_robin,200,100000,1000000,1,"2.324,403100","0,012333"
round_robin,200,100000,1000000,2,"2.328,319800","0,015167"
round_robin,200,100000,1000000,3,"2.393,661200","0,014667"
round_robin,200,100000,1000000,4,"2.330,534700","0,014000"
round_robin,200,100000,1000000,5,"2.319,841100","0,012166"
round_robin,10,10000,1000000,1,"12,283400","0,000000"
round_robin,10,10000,1000000,2,"12,083300","0,000000"
round_robin,10,10000,1000000,3,"12,079980","0,000000"
